"Symbol";"Value";"Unit";
"TraceParts.PartNumber";"10-21092016-091377";"";
"REFERENCE";"6209";"";
"TraceParts.PartVersion";"1.4.0";"";
"TraceParts.InstanceId";"10-21092016-0913775FVGABND3I9R63Q7WX70H8R0E";"";
"TraceParts.PartTitle";"Deep groove ball bearings, single row";"";
"SUPPLIER";"SKF";"";
"DESIGN";"Single row deep groove ball bearing, Bore Ø 45 mm, Outside Ø 85 mm";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartLanguage";"en";"";
"MASS";"0.416";"";
