"Symbol";"Value";"Unit";
"TraceParts.PartNumber";"10-21092016-091377";"";
"REFERENCE";"6307";"";
"TraceParts.PartVersion";"1.4.0";"";
"TraceParts.InstanceId";"10-21092016-0913778TWVJ43LPF8UKLNY3XDIWUL2N";"";
"TraceParts.PartTitle";"Deep groove ball bearings, single row";"";
"SUPPLIER";"SKF";"";
"DESIGN";"Single row deep groove ball bearing, Bore Ø 35 mm, Outside Ø 80 mm";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartLanguage";"en";"";
"MASS";"0.456";"";
