,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,,,,,,,,,,2RS1,2RSH,,,,,,,,,,,,,,
1,,,,,,,2Z,,,,,,,,,,,,,,,,,,
2,,Principal dimensions,,,Basic load ratings,Fatigue,Speed ratings,,Mass,,Designations,,,,,,,,,,,,,,
3,,,,dynamic,static,load limit,Reference,Limiting,,,Bearing,,,,,,,,,,,,,,
4,,,,,,,speed,speed1),,,open or capped,capped on one,,,,,,,,,,,,,
5,d,D,B,C,C0,Pu,,,,,on both sides,side1),,,≈,≈,≈,≈,min,min,max,max,max,,
6,mm,,,kN,,kN,r/min,,kg,,–,,,mm,,,,,,mm,,,,–,
41,,19,6,"2,34","0,95","0,04",80 000,40 000,"0,0088",▶,626-2Z,626-Z,,,"11,1",–,–,"16,5","0,3","8,4",11,"16,6","0,3",25,13
42,7,14,"3,5","0,78","0,26",11,100 000,63 000,"0,0022",,618/7,,–,7,9,–,12,–,"0,15","7,8",–,"13,2","0,1",15,
43,,14,5,956,"0,4",17,100 000,50 000,"0,0031",,628/7-2Z,,–,,–,"8,5",–,"12,7","0,15","7,8",8,"13,2","0,1",15,
44,,17,5,"1,06",375,16,90 000,45 000,"0,0049",,619/7-2Z,,–,,"10,4",–,–,"14,3","0,3",9,"9,7",15,"0,3","0,02",
45,,17,5,"1,06",375,16,90 000,56 000,"0,0049",,619/7,,–,,"10,4",–,–,"14,3","0,3",9,–,15,"0,3","0,02",
46,,19,6,"2,34","0,95","0,04",85 000,53 000,"0,0076",▶,607,,–,,"11,1",–,–,"16,5","0,3",9,–,17,"0,3",25,
47,,19,6,"2,34","0,95","0,04",–,24 000,"0,0078",▶,607-2RSH,,607-RSH,,–,"9,5",–,"16,5","0,3",9,"9,4",17,"0,3",25,
48,,19,6,"2,34","0,95","0,04",85 000,43 000,"0,0078",▶,607-2RSL,,607-RSL,,–,"9,5",–,"16,5","0,3",9,"9,4",17,"0,3",25,
49,,19,6,"2,34","0,95","0,04",85 000,43 000,"0,0084",▶,607-2Z,,607-Z,,"11,1",–,–,"16,5","0,3",9,11,17,"0,3",25,
50,,22,7,"3,45","1,37",57,70 000,45 000,12,▶,627,,–,,"12,1",–,–,"19,2","0,3","9,4",–,"19,6","0,3",25,
51,,22,7,"3,45","1,37",57,–,22 000,13,▶,627-2RSH,,627-RSH,,–,"10,5",–,"19,2","0,3","9,4","10,5","19,6","0,3",25,
52,,22,7,"3,45","1,37",57,70 000,36 000,13,▶,627-2RSL,,627-RSL,,–,"10,5",–,"19,2","0,3","9,4","10,5","19,6","0,3",25,
53,,22,7,"3,45","1,37",57,70 000,36 000,13,▶,627-2Z,,627-Z,,"12,1",–,–,"19,2","0,3","9,4","12,1","19,6","0,3",25,
54,8,16,4,819,"0,3",12,90 000,56 000,3,,618/8,,–,8,"10,5",–,"13,5",–,"0,2","9,4",–,"14,6","0,2",15,
55,,16,5,"1,33","0,57",24,–,26 000,"0,0036",▶,628/8-2RS1,,–,,"10,1",–,–,"14,2","0,2","9,4","9,4","14,6","0,2",15,
56,,16,5,"1,33","0,57",24,90 000,45 000,"0,0036",▶,628/8-2Z,,–,,"10,1",–,–,"14,2","0,2","9,4",10,"14,6","0,2",15,
57,,16,6,"1,33","0,57",24,90 000,45 000,"0,0043",,638/8-2Z,,–,,–,"9,6",–,"14,2","0,2","9,4","9,5","14,6","0,2",15,
58,,19,6,"1,46",465,"0,02",–,24 000,"0,0071",,619/8-2RS1,,–,,–,"9,8",–,"16,7","0,3","9,5","9,8",17,"0,3","0,02",
59,,19,6,"1,46",465,"0,02",85 000,43 000,"0,0071",,619/8-2Z,,–,,–,"9,8",–,"16,7","0,3","9,5","9,8",17,"0,3","0,02",
60,,19,6,"1,46",465,"0,02",85 000,53 000,"0,0071",,619/8,,–,,"10,5",–,–,"16,7","0,3",10,–,17,"0,3","0,02",
61,,19,6,"2,34","0,95","0,04",85 000,43 000,"0,0072",,607/8-2Z,,607/8-Z,,"11,1",–,–,"16,5","0,3",10,11,17,"0,3",25,
62,,22,7,"3,45","1,37",57,75 000,48 000,12,▶,608,,–,,"12,1",–,–,"19,2","0,3",10,–,20,"0,3",25,
63,,22,7,"3,45","1,37",57,–,22 000,12,▶,608-2RSH,▶,608-RSH,,–,"10,5",–,"19,2","0,3",10,"10,5",20,"0,3",25,
64,,22,7,"3,45","1,37",57,75 000,38 000,12,▶,608-2RSL,,608-RSL,,–,"10,5",–,"19,2","0,3",10,"10,5",20,"0,3",25,
65,,22,7,"3,45","1,37",57,75 000,38 000,13,▶,608-2Z,,608-Z,,"12,1",–,–,"19,2","0,3",10,12,20,"0,3",25,
66,,22,11,"3,45","1,37",57,–,22 000,16,▶,630/8-2RS1,,–,,"11,8",–,–,19,"0,3",10,"11,7",20,"0,3",25,
67,,24,8,"3,9","1,66",71,63 000,40 000,18,,628,,–,,"14,4",–,–,"21,2","0,3","10,4",–,"21,6","0,3",25,
68,,24,8,"3,9","1,66",71,–,19 000,17,,628-2RS1,,628-RS1,,"14,4",–,–,"21,2","0,3","10,4","14,4","21,6","0,3",25,
69,,24,8,"3,9","1,66",71,63 000,32 000,17,,628-2RZ,,628-RZ,,"14,4",–,–,"21,2","0,3","10,4","14,4","21,6","0,3",25,
70,,24,8,"3,9","1,66",71,63 000,32 000,18,▶,628-2Z,,628-Z,,"14,4",–,–,"21,2","0,3","10,4","14,4","21,6","0,3",25,
71,,28,9,"1,33","0,57",24,60 000,30 000,"0,03",,638-2RZ,,638-RZ,,"14,8",–,–,"22,6","0,3","10,4","14,7","25,6","0,3","0,03",
72,9,17,4,871,"0,34",14,85 000,53 000,"0,0034",,618/9,,–,9,"11,5",–,"14,5",–,"0,2","10,4",–,"15,6","0,2",15,
73,,17,5,"1,43","0,64",27,–,24 000,"0,0043",,628/9-2RS1,,–,,–,"10,7",–,"15,2","0,2","10,4","10,5","15,6","0,2",15,
74,,17,5,"1,43","0,64",27,85 000,43 000,"0,0043",,628/9-2Z,,628/9-Z,,–,"10,7",–,"15,2","0,2","10,4","10,5","15,6","0,2",15,
75,,20,6,"2,34","0,98",43,80 000,40 000,"0,0076",,619/9-2Z,,–,,"11,6",–,–,"17,5","0,3",11,"11,5",18,"0,3","0,02",
76,,20,6,"2,34","0,98",43,80 000,50 000,"0,0076",,619/9,,–,,"11,6",–,–,"17,5","0,3",11,–,18,"0,3","0,02",
77,,24,7,"3,9","1,66",71,70 000,43 000,14,▶,609,,–,,"14,4",–,–,"21,2","0,3",11,–,22,"0,3",25,
78,9,24,7,"3,9","1,66",71,–,19 000,15,▶,609-2RSH,,609-RSH,9,–,"12,8",–,"21,2","0,3",11,"12,5",22,"0,3",25,13
79,cont,24,7,"3,9","1,66",71,70 000,34 000,14,▶,609-2RSL,,609-RSL,cont,–,"12,8",–,"21,2","0,3",11,"12,5",22,"0,3",25,13
80,,24,7,"3,9","1,66",71,70 000,34 000,15,▶,609-2Z,,609-Z,,"14,4",–,–,"21,2","0,3",11,"14,3",22,"0,3",25,13
81,,26,8,"4,75","1,96",83,60 000,38 000,"0,02",▶,629,,–,,"14,8",–,–,"22,6","0,3","11,4",–,"23,6","0,3",25,12
82,,26,8,"4,75","1,96",83,–,19 000,"0,02",▶,629-2RSH,,629-RSH,,–,"12,5",–,"22,6","0,3","11,4","12,5","23,6","0,3",25,12
83,,26,8,"4,75","1,96",83,60 000,30 000,"0,02",▶,629-2RSL,,629-RSL,,–,"12,5",–,"22,6","0,3","11,4","12,5","23,6","0,3",25,12
84,,26,8,"4,75","1,96",83,60 000,30 000,21,▶,629-2Z,,629-Z,,"14,8",–,–,"22,6","0,3","11,4","14,7","23,6","0,3",25,12
85,10,19,5,"1,72","0,83",36,–,22 000,"0,0055",,61800-2RS1,,–,10,–,"11,8",–,"17,2","0,3","11,8","11,8",17,"0,3",15,15
86,,19,5,"1,72","0,83",36,80 000,38 000,"0,0055",,61800-2Z,,–,,"12,7",–,–,"17,2","0,3",12,"12,5",17,"0,3",15,15
87,,19,5,"1,72","0,83",36,80 000,48 000,"0,0053",,61800,,–,,"12,7",–,"16,3",–,"0,3",12,–,17,"0,3",15,15
88,,22,6,"2,7","1,27",54,–,20 000,"0,01",,61900-2RS1,,–,,–,"13,2",–,"19,4","0,3",12,12,20,"0,3","0,02",14
89,,22,6,"2,7","1,27",54,70 000,36 000,"0,01",,61900-2Z,,–,,"13,9",–,–,"19,4","0,3",12,"12,9",20,"0,3","0,02",14
90,,22,6,"2,7","1,27",54,70 000,45 000,"0,01",,61900,,–,,"13,9",–,"18,2",–,"0,3",12,–,20,"0,3","0,02",14
91,,26,8,"4,75","1,96",83,67 000,40 000,19,▶,6000,,–,,"14,8",–,–,"22,6","0,3",12,–,24,"0,3",25,12
