,0,1,2,3,4,5,6,7,8,9,10,11,12
31,,"8,2",–,–,13,"0,2","7,4",8,"13,6","0,2","0,02","6,8",
32,,"8,2",–,–,13,"0,2","7,4",–,"13,6","0,2","0,02","6,8",
33,,"11,1",–,–,"16,5","0,3","8,4",–,"16,6","0,3","0,025",13,
34,,–,"9,5",–,"16,5","0,3","8,4","9,4","16,6","0,3","0,025",13,
35,,–,"9,5",–,"16,5","0,3","8,4","9,4","16,6","0,3","0,025",13,
36,,"11,1",–,–,"16,5","0,3","8,4",11,"16,6","0,3","0,025",13,
0,,,,,,,,,,2RS1,2RS1,,2RSH
1,,,,,,,2Z,,,,,,
2,,Principal dimensions,,,Basic load ratings,Fatigue,Speed ratings,,Mass,,Designations,,
3,,,,dynamic,static,load limit,Reference,Limiting,,,Bearing,,
4,,,,,,,speed,speed1),,,open or capped,,capped on one
5,d,D,B,C,C0,Pu,,,,,on both sides,,side1)
6,mm,,,kN,,kN,r/min,,kg,,–,,
7,7,14,"3,5","0,78","0,26","0,011",100 000,63 000,"0,0022",,618/7,,–
8,,14,5,"0,956","0,4","0,017",100 000,50 000,"0,0031",,628/7-2Z,,–
9,,17,5,"1,06","0,375","0,016",90 000,45 000,"0,0049",,619/7-2Z,,–
10,,17,5,"1,06","0,375","0,016",90 000,56 000,"0,0049",,619/7,,–
11,,19,6,"2,34","0,95","0,04",85 000,53 000,"0,0076",▶,607,,–
12,,19,6,"2,34","0,95","0,04",–,24 000,"0,0078",▶,607-2RSH,,607-RSH
13,,19,6,"2,34","0,95","0,04",85 000,43 000,"0,0078",▶,607-2RSL,,607-RSL
14,,19,6,"2,34","0,95","0,04",85 000,43 000,"0,0084",▶,607-2Z,,607-Z
15,,22,7,"3,45","1,37","0,057",70 000,45 000,"0,012",▶,627,,–
16,,22,7,"3,45","1,37","0,057",–,22 000,"0,013",▶,627-2RSH,,627-RSH
17,,22,7,"3,45","1,37","0,057",70 000,36 000,"0,013",▶,627-2RSL,,627-RSL
18,,22,7,"3,45","1,37","0,057",70 000,36 000,"0,013",▶,627-2Z,,627-Z
19,8,16,4,"0,819","0,3","0,012",90 000,56 000,"0,003",,618/8,,–
20,,16,5,"1,33","0,57","0,024",–,26 000,"0,0036",▶,628/8-2RS1,,–
21,,16,5,"1,33","0,57","0,024",90 000,45 000,"0,0036",▶,628/8-2Z,,–
22,,16,6,"1,33","0,57","0,024",90 000,45 000,"0,0043",,638/8-2Z,,–
23,,19,6,"1,46","0,465","0,02",–,24 000,"0,0071",,619/8-2RS1,,–
24,,19,6,"1,46","0,465","0,02",85 000,43 000,"0,0071",,619/8-2Z,,–
25,,19,6,"1,46","0,465","0,02",85 000,53 000,"0,0071",,619/8,,–
26,,19,6,"2,34","0,95","0,04",85 000,43 000,"0,0072",,607/8-2Z,,607/8-Z
27,,22,7,"3,45","1,37","0,057",75 000,48 000,"0,012",▶,608,,–
28,,22,7,"3,45","1,37","0,057",–,22 000,"0,012",▶,608-2RSH,▶,608-RSH
29,,22,7,"3,45","1,37","0,057",75 000,38 000,"0,012",▶,608-2RSL,,608-RSL
30,,22,7,"3,45","1,37","0,057",75 000,38 000,"0,013",▶,608-2Z,,608-Z
31,,22,11,"3,45","1,37","0,057",–,22 000,"0,016",▶,630/8-2RS1,,–
32,,24,8,"3,9","1,66","0,071",63 000,40 000,"0,018",,628,,–
33,,24,8,"3,9","1,66","0,071",–,19 000,"0,017",,628-2RS1,,628-RS1
34,,24,8,"3,9","1,66","0,071",63 000,32 000,"0,017",,628-2RZ,,628-RZ
35,,24,8,"3,9","1,66","0,071",63 000,32 000,"0,018",▶,628-2Z,,628-Z
36,,28,9,"1,33","0,57","0,024",60 000,30 000,"0,03",,638-2RZ,,638-RZ
37,9,17,4,"0,871","0,34","0,014",85 000,53 000,"0,0034",,618/9,,–
38,,17,5,"1,43","0,64","0,027",–,24 000,"0,0043",,628/9-2RS1,,–
39,,17,5,"1,43","0,64","0,027",85 000,43 000,"0,0043",,628/9-2Z,,628/9-Z
40,,20,6,"2,34","0,98","0,043",80 000,40 000,"0,0076",,619/9-2Z,,–
41,,20,6,"2,34","0,98","0,043",80 000,50 000,"0,0076",,619/9,,–
42,,24,7,"3,9","1,66","0,071",70 000,43 000,"0,014",▶,609,,–
43,SKF Explorer bearing,,,,,,,,,,,,
0,,≈,≈,≈,≈,min,min,max,max,max,,,
1,mm,,,,,,mm,,,,–,,
2,7,9,–,12,–,"0,15","7,8",–,"13,2","0,1","0,015",,
3,,–,"8,5",–,"12,7","0,15","7,8",8,"13,2","0,1","0,015",,
4,,"10,4",–,–,"14,3","0,3",9,"9,7",15,"0,3","0,02",,
5,,"10,4",–,–,"14,3","0,3",9,–,15,"0,3","0,02",,
6,,"11,1",–,–,"16,5","0,3",9,–,17,"0,3","0,025",,
7,,–,"9,5",–,"16,5","0,3",9,"9,4",17,"0,3","0,025",,
8,,–,"9,5",–,"16,5","0,3",9,"9,4",17,"0,3","0,025",,
9,,"11,1",–,–,"16,5","0,3",9,11,17,"0,3","0,025",,
10,,"12,1",–,–,"19,2","0,3","9,4",–,"19,6","0,3","0,025",,
11,,–,"10,5",–,"19,2","0,3","9,4","10,5","19,6","0,3","0,025",,
12,,–,"10,5",–,"19,2","0,3","9,4","10,5","19,6","0,3","0,025",,
13,,"12,1",–,–,"19,2","0,3","9,4","12,1","19,6","0,3","0,025",,
14,8,"10,5",–,"13,5",–,"0,2","9,4",–,"14,6","0,2","0,015",,
15,,"10,1",–,–,"14,2","0,2","9,4","9,4","14,6","0,2","0,015",,
16,,"10,1",–,–,"14,2","0,2","9,4",10,"14,6","0,2","0,015",,
17,,–,"9,6",–,"14,2","0,2","9,4","9,5","14,6","0,2","0,015",,
18,,–,"9,8",–,"16,7","0,3","9,5","9,8",17,"0,3","0,02",,
19,,–,"9,8",–,"16,7","0,3","9,5","9,8",17,"0,3","0,02",,
20,,"10,5",–,–,"16,7","0,3",10,–,17,"0,3","0,02",,
21,,"11,1",–,–,"16,5","0,3",10,11,17,"0,3","0,025",,
22,,"12,1",–,–,"19,2","0,3",10,–,20,"0,3","0,025",,
23,,–,"10,5",–,"19,2","0,3",10,"10,5",20,"0,3","0,025",,
24,,–,"10,5",–,"19,2","0,3",10,"10,5",20,"0,3","0,025",,
25,,"12,1",–,–,"19,2","0,3",10,12,20,"0,3","0,025",,
26,,"11,8",–,–,19,"0,3",10,"11,7",20,"0,3","0,025",,
27,,"14,4",–,–,"21,2","0,3","10,4",–,"21,6","0,3","0,025",,
28,,"14,4",–,–,"21,2","0,3","10,4","14,4","21,6","0,3","0,025",,
29,,"14,4",–,–,"21,2","0,3","10,4","14,4","21,6","0,3","0,025",,
30,,"14,4",–,–,"21,2","0,3","10,4","14,4","21,6","0,3","0,025",,
31,,"14,8",–,–,"22,6","0,3","10,4","14,7","25,6","0,3","0,03",,
32,9,"11,5",–,"14,5",–,"0,2","10,4",–,"15,6","0,2","0,015",,
33,,–,"10,7",–,"15,2","0,2","10,4","10,5","15,6","0,2","0,015",,
34,,–,"10,7",–,"15,2","0,2","10,4","10,5","15,6","0,2","0,015",,
35,,"11,6",–,–,"17,5","0,3",11,"11,5",18,"0,3","0,02",,
36,,"11,6",–,–,"17,5","0,3",11,–,18,"0,3","0,02",,
37,,"14,4",–,–,"21,2","0,3",11,–,22,"0,3","0,025",,
0,,,,,,mm,,,,–,,,
1,9,–,12,–,"0,15","7,8",–,"13,2","0,1","0,015","7,2",,
2,–,"8,5",–,"12,7","0,15","7,8",8,"13,2","0,1","0,015",11,,
3,"10,4",–,–,"14,3","0,3",9,"9,7",15,"0,3","0,02","7,3",,
4,"10,4",–,–,"14,3","0,3",9,–,15,"0,3","0,02","7,3",,
5,"11,1",–,–,"16,5","0,3",9,–,17,"0,3","0,025",13,,
6,–,"9,5",–,"16,5","0,3",9,"9,4",17,"0,3","0,025",13,,
7,–,"9,5",–,"16,5","0,3",9,"9,4",17,"0,3","0,025",13,,
8,"11,1",–,–,"16,5","0,3",9,11,17,"0,3","0,025",13,,
9,"12,1",–,–,"19,2","0,3","9,4",–,"19,6","0,3","0,025",12,,
10,–,"10,5",–,"19,2","0,3","9,4","10,5","19,6","0,3","0,025",12,,
11,–,"10,5",–,"19,2","0,3","9,4","10,5","19,6","0,3","0,025",12,,
12,"12,1",–,–,"19,2","0,3","9,4","12,1","19,6","0,3","0,025",12,,
13,"10,5",–,"13,5",–,"0,2","9,4",–,"14,6","0,2","0,015","7,5",,
14,"10,1",–,–,"14,2","0,2","9,4","9,4","14,6","0,2","0,015",11,,
15,"10,1",–,–,"14,2","0,2","9,4",10,"14,6","0,2","0,015",11,,
16,–,"9,6",–,"14,2","0,2","9,4","9,5","14,6","0,2","0,015",11,,
17,–,"9,8",–,"16,7","0,3","9,5","9,8",17,"0,3","0,02","6,6",,
18,–,"9,8",–,"16,7","0,3","9,5","9,8",17,"0,3","0,02","6,6",,
